,Title,Director,Cast,Genre,Date,Year
254,Manchi Manasuku Manchi Rojulu,C. S. Rao,N. T. Rama Rao,Drama,,1958
255,Mundhadugu,Krishna Rao,Jaggayya,Drama,,1958
256,Parvathi Kalyanam,K. Bhaskar Rao,Gummadi,Devotional,,1958
257,Pathi Bakthi,A. Bhimsingh,Sivaji Ganesan,Drama,,1958
258,Raja Nandini,Vedantam Raghavaiah,N. T. Rama Rao,Drama,,1958
259,Sabhash Pillaa,B. R. Panthulu,Sivaji Ganesan,Romantic Comedy,,1958
260,Sobha,Kamalakara Kameswara Rao,N. T. Rama Rao,Drama,,1958
261,Sri Krishna Garadi,Y. V. Rao,Jaggayya,Mythology,,1958
262,Sri Krishna Maya,C. S. Rao,A. Nageswara Rao,Devotional,,1958
263,Sree Ramanjaneya Yuddham,Aacharya,Kanta Rao,Devotional,,1958
264,Uttama Illaalu,A. S. A. Sami,Gemini Ganesan,Folklore,,1958
265,Veera Kadgamu,T. R. Ramanna,M. G. Ramachandran,Folklore,,1958
266,Veera Pratap,T. Prakash Rao,Sivaji Ganesan,Historical,,1958
267,Vijaya Kota Veerudu,S. S. Vasan,Gemini Ganesan,Folklore,,1958
268,Aalu Magalu,S. V. Krishna Rao,Jaggayya,"Drama",,1959
269,Anaganaga Oka Raju,M. G. Ramachandran,M. G. Ramachandran,Action-Adventure,,1959
270,Appu Chesi Pappu Koodu,L. V. Prasad,N. T. Rama Rao,Romantic Comedy,,1959
271,Bala Nagamma,Vedantam Raghavaiah,N. T. Rama Rao,Folklore,,1959
272,Banda Ramudu,P. Pullaiah,N. T. Rama Rao,Folklore,,1959
273,Bhagya Devatha,Tapi Chanakya,Jagayya,Drama,,1959
274,Bhaktha Ambareesha,Bolla Subba Rao,Kanta Rao,Devotional,,1959
275,Daiva Balam,Vasanth Kumar Reddy,N. T. Rama Rao,Mythology,,1959
276,Illarikam,T. Prakash Rao,A. Nageswara Rao,Drama,,1959
277,Jayabheri,P. Pullaiah,A. Nageswara Rao,Mythology,,1959
278,Jaya Vijaya,B. Vittalacharya,Kanta Rao,Family Drama,,1959
279,Karmika Vijayam,M. A. Thirumugam,Gemini Ganesan,"Family",,1959
280,Koothuru Kaapuram,Sobhanadri Rao,Jagayya,Drama,,1959
281,Krishna Leelalu,Chandrasekhara Rao Jampana,Lakshmirajyam,Devotional,,1959
282,Maa Inti Mahalakshmi,G. Raminedu,Gummadi,Drama,,1959
283,Mangalya Balam,Adurthi Subba Rao,A. Nageswara Rao,Drama,,1959
284,Manorama,K. Bhaskar Rao,"Balaiah, ",Drama,,1959
285,Pelli Meeda Pelli,B. Vittalacharya,J. V. Ramana Murthi,Drama,,1959
286,Pellinaati Pramanalu,K. V. Reddy,A. Nageswara Rao,Romance,,1959
287,Pelli Sandadi,D. Yoganand,A. Nageswara Rao,Drama,,1959
288,Raja Malaya Simha,B. S. Ranga,Ranjan,Historical,,1959
289,Rechukka Pagatichukka,Kamalakara Kameswara Rao,N. T. Rama Rao,Historical,,1959
290,Sabhash Ramudu,C. S. Rao,N. T. Rama Rao,Drama,,1959
291,Sati Sukanya,Chandra Mohan,"Amarnath, ",Devotional,,1959
292,Sati Tulasi,V. Madhusudhan Rao,Gummadi,Devotional,,1959
293,Sipayi Koothuru,P. Chengaiah,Jamuna,Folklore,,1959
294,Vachina Kodalu Nachindi,D. Yoganand,N. T. Rama Rao,Romance,,1959
295,Veera Bhaskarudu,K. B. Nagabhushanam,Udaykumar,Folklore,,1959
296,Veera Pandya Katta Brahmana,B. R. Panthulu,Sivaji Ganesan,Historical,,1959
297,Abhimanam,k. S Rao,A. Nageswara Rao,Drama,,1960
298,Anna Chellelu,B. Vittalacharya,J. V. Ramana Murthy,Drama,,1960
299,Annapurna,V. Madhusudhan Rao,Jaggayya,Drama,,1960
300,Bhakta Raghunath,Samudrala,Kanta Rao,Mythology,,1960
301,Bhakta Sabari,Ch. Narayana Murthy,Sobhan Babu,Mythology,,1960
302,Bhatti Vikramarka,Chandrasekhara Rao Jampana,N. T. Rama Rao,Historical,,1960
303,Chivaraku Migiledi,Gutha Ramineedu,Kanta Rao,Drama,,1960
304,Deepavali,Rajinikanth,N. T. Rama Rao,Mythology,,1960
305,Devanthakudu,C. Pullaiah,N. T. Rama Rao,Folklore,,1960
306,Dharmame Jayam,K. B. Nagabhushanam,Jaggayya,Drama,,1960
307,Kanna Koothuru,D. Yoganand,A. Nageswara Rao,"Drama",,1960
308,Jagannatakam,Sobhanadri Rao,"Amarnath, ",Drama,,1960
309,Jalsa Rayudu,Tapi Chanakya,Jaggayya,Drama,,1960
310,Kadeddulu Ekaram Nela,Chandrasekhara Rao Jampana,N. T. Rama Rao,Drama,,1960
311,Kanakadurga Pooja Mahima,B. Vittalacharya,Kanta Rao,Devotional,,1960
312,Kula Daivam,Kabir Das,Gummadi,Family Drama,,1960
313,Kumkuma Rekha,Tapi Chanakya,Jaggayya,Family Drama,,1960
314,Maa Babu,T. Prakash Rao,A. Nageswara Rao,Family Drama,,1960
