,Title,Director,Cast,Genre,Date,Year
315,Magavari Mayalu,Sobhanadri Rao,"Amarnath, ",Comedy Drama,,1960
316,Mahakavi Kalidasu,Kamalakara Kameswara Rao,A. Nageswara Rao,Biography,,1960
317,Mamaku Tagga Alludu,Vedantam Raghavaiah,Savitri,Comedy Drama,,1960
318,Mangalyam,B. S. Narayana,Kanta Rao,Famil Drama,,1960
319,Nammina Bantu,Adurthi Subba Rao,A. Nageswara Rao,Drama,,1960
320,Nithya Kalyanam Paccha Thoranam,Pinisetti Srirama Murthy,Chalam,Drama,,1960
321,Pelli Kanuka,C. V. Sridhar,A. Nageswara Rao,Romantic Drama,,1960
322,Pillalu Techina Challani Rajyam,B. R. Panthulu,B. R. Panthulu,Drama,,1960
323,Raja Makutam,B. N. Reddi,N. T. Rama Rao,Folklore,,1960
324,Ramasundari,H. Krishnamurthy,Kanta Rao,Folklore,,1960
325,Rani Ratnaprabha,B. A. Subba Rao,N.T.Rama Rao,Historical,,1960
326,Renukadevi Mahatyam,K. S. Prakash Rao,Gummadi,Devotional,,1960
327,Runanubandham,Vedantam Raghavaiah,A. Nageswara Rao,Drama,,1960
328,Sahasra Siracheda Apoorva Chinthamani,S. D. Lal,Kanta Rao,Drama,,1960
329,Samajam,A. Narayana Rao,Jaggayya,Comedy Drama,,1960
330,Shanthi Nivasam,C. S. Rao,A. Nageswara Rao,Drama,,1960
331,Sri Krishna Rayabaram,Jagannadh,Raghuramaiah,Mythology,,1960
332,Sri Venkateswara Mahatyam,P. Pullaiah,N. T. Rama Rao,Mythology,,1960
333,Vimala,S. M. Sriramulu Naidu,N. T. Rama Rao,Romance,,1960
334,Aasha Jeevulu,B. S. Ranga,J. V. Ramana Murthi,Drama,,1962
335,Aatma Bandhuvu,P. S. Ramakrishna Rao,N. T. Rama Rao,Drama,,1962
336,Appaginthalu,V. Madhusudhan Rao,Jaggayya,Drama,,1962
337,Aradhana,V. Madhusudhan Rao,A. Nageswara Rao,Drama,,1962
338,Bhishma,B. A. Subba Rao,N. T. Rama Rao,Historical,,1962
339,Chitti Tammudu,K. B. Tilak,Kanta Rao,Social,,1962
340,Dakshayagnam,K. B. Nagabhushanam,N. T. Rama Rao,Mythology,,1962
341,Gaali Medalu,B. R. Panthulu,N. T. Rama Rao,Drama,,1962
342,Gulebakavali Katha,K. Kameswara Rao,N. T. Rama Rao,,,1962
343,Gundamma Katha,K. Kameswara Rao,N. T. Rama Rao,Drama,,1962
344,Kalimilemulu,G. Ramineedu,A. Nageswara Rao,Drama,,1962
345,Khaidi Kannayya,B. Vittalacharya,Kanta Rao,Drama,,1962
346,Kula Gotralu,K. Pratyagatma,A. Nageswara Rao,Drama,,1962
347,Madana Kamaraju Katha,B. Vittalacharya,Kanta Rao,Folklore,,1962
348,Mahamantri Timmarusu,K. Kameswara Rao,N. T. Rama Rao,Historical,,1962
349,Manchi Manasulu,A. Subba Rao,A. Nageswara Rao,Drama,,1962
350,Mohini Rukmangada,K. S. Prakash Rao,Balayya,Folklore,,1962
351,Nagarjuna,Y. V. Rao,Rajkumar,Devotional,,1962
352,Nuvva? Nena?,A. Seshagiri Rao,Kanta Rao,Drama,,1962
353,Padandi Munduku,V. Madhusudhan Rao,Jaggayya,Drama,,1962
354,Nichaya Thamboolam,B. S. Ranga,Sivaji Ganesan,Family Drama,,1962
355,Rakta Sambandham,V. Madhusudan Rao,N. T. Rama Rao,Drama,,1962
356,Siri Sampadalu,P. Pullaiah,A. Nageswara Rao,Drama,,1962
357,Swarna Gowri,Y. R. Swamy,Kanta Rao,Folklore,,1962
358,Swarna Manjari,Vedantam Raghavaiah,N. T. Rama Rao,Folklore,,1962
359,Tiger Ramudu,C. S. Rao,N. T. Rama Rao,Drama,,1962
360,Samrat Pruthviraj (Rani Samyukta),Harsukh Bhatt ,Paidi Jairaj,Historical epic,,1962
361,Aapta Mitrulu,K. B. Nagabhushanam,N. T. Rama Rao,Drama,,1963
362,Anubandhalu,P. S. Ramakrishna Rao,Jaggayya,Family Drama,,1963
363,Anuragam,G. Ramineedu,P. Bhanumathi,Family Drama,,1963
364,Bandipotu,B. Vittalacharya,N. T. Rama Rao,Folklore,,1963
365,Bangaru Thimmaraju,G. Viswanadham,Kanta Rao,Drama,,1963
366,Chaduvukunna Ammayilu,A. Subba Rao,A. Nageswara Rao,Romantic Drama,,1963
367,Constable Koothuru,Tapi Chanakya,Kanta Rao,Drama,,1963
368,Deva Sundari,H. V. Babu,Kanta Rao,Folklore,,1963
369,Edureeta,B. S. Narayana,Kanta Rao,Drama,,1963
370,Eedu Jodu,K. B. Tilak,Jaggayya,Drama,,1963
371,Guruvunu Minchina Sishyudu,B. Vittalacharya,Kanta Rao,Folklore,,1963
372,Irugu Porugu,I. N. Murthy,N. T. Rama Rao,Drama,,1963
373,Lakshadhikari,V. Madhusudhan Rao,N. T. Rama Rao,Drama,,1963
374,Lava Kusa,C. Pullaiah,N. T. Rama Rao,Mythology,,1963
375,Manchi Chedu,T. R. Ramanna,N. T. Rama Rao,Drama,,1963
376,Naga Devata (Dub),Shantilal Soni,Mahipal,Fantasy,,1963
377,Nartanasala,K. Kameswara Rao,N. T. Rama Rao,Mythology,,1963
378,Paruvu-Prathishta,M. Appa Rao,N. T. Rama Rao,Drama,,1963
379,Pempudu Koothuru,B. R. Panthulu,N. T. Rama Rao,Drama,,1963
380,Punarjanma,K. Pratyagatma,A. Nageswara Rao,Drama,,1963
381,Savati Koduku,Y. Ranga Rao,N. T. Rama Rao,Social Drama,,1963
382,Somavara Vratha Mahathyam,R. M. Krishnaswamy,Kanta Rao,Devotional,,1963
383,Sri Krishnarjuna Yuddhamu,K. V. Reddy,N. T. Rama Rao,Mythology,,1963
384,Thalli Biddalu,P. S. Srinivasa Rao,Balayya,Drama,,1963
385,Thirupathamma Katha,B. S. Narayana,N. T. Rama Rao,Devotional,,1963
386,Thobuttuvulu,C. V. Ranganath Das,Kanta Rao,Drama,,1963
387,Valmiki,C. S. Rao,N. T. Rama Rao,Mythology,,1963
388,Vishnu Maya,Nammalvar,Kanta Rao,Devotional,,1963
389,Aada Brathuku,Vedantam Raghavaiah,,,,1965
390,Aatma Gowravam,K. Vishwanath,,Drama,,1965
391,Antastulu,V. Madhusudan Rao,,Drama,,1965
392,C.I.D.,Tapi Chanakya,"N. T. Rama Rao, Jamuna, Gummadi Venkateswara Rao",Drama,,1965
393,Chaduvukonna Bharya,Kadaru Nagabhushanam,,Drama,,1965
394,Chandrahasa,B. S. Ranga,,,,1965
395,Devata,K. Hemambharadhara Rao,N. T. Rama Rao,Drama,,1965
396,Dorikithe Dongalu,P. Subrahmanyam,N. T. Rama Rao,,,1965
397,Gudi Gantalu,V. Madhusudan Rao,N. T. Rama Rao,Drama,,1965
398,Jwala Dweepa Rahasyam,B. Vittalacharya,Kanta Rao,,,1965
399,Keelu Bommalu,C. S. Rao,Gummadi Venkateswara Rao,,,1965
400,Mangamma Sapatham,B. Vittalacharya,N. T. Rama Rao,,,1965
401,Manushulu Mamathalu,Kotayya Pratyagatma,,Drama,,1965
402,Naadi Aada Janme,A. C. Tirulokachandar,,Drama,,1965
403,Pakkalo Ballem,S. R. Puttana Kanagal,,,,1965
404,Pandava Vanavasam,Kamalakara Kameswara Rao,Nandamuri Taraka Rama Rao,Mythological,,1965
405,Prachanda Bhairavi,C. S. Rao,,,,1965
406,Prameelarjuneeyam,M. Mallikarjuna Rao,NTR,,,1965
407,Pratignapalana,C. S. Rao,,,,1965
408,Preminchi Choodu,P. Pullaiah,Akkineni Nageswara Rao,Comedy,,1965
409,Sati Sakkubai,Vedantam Raghavaiah,,,,1965
410,Satya Harishchandra,Kadri Venkata Reddy,N. T. Rama Rao,,,1965
411,Sri Simhachala Kshetra Mahima,B. V. Prasad,Kanta Rao,,,1965
412,Sumangali,Adurthi Subba Rao,,Drama,,1965
413,Thene Manasulu,Adurthi Subba Rao,Ram Mohan,Drama,,1965
414,Thodu Needa,Adurthi Subba Rao,NTR,Drama,,1965
415,Uyyala Jampala,,Kongara Jaggaiah,Drama,,1965
416,Veelunama,K. Hemambharadhara Rao,,Suspense,,1965
417,Veerabhimanyu,V. Madhusudhan Rao,NTR,,,1965
418,Visala Hrudayalu,B. S. Narayana,NTR,,,1965
419,Zamindar,V. Madhusudan Rao,Akkineni Nageswara Rao,Thriller,,1965
420,Aame Evaru?,B. S. Narayana,Kongara Jaggaiah,,,1966
421,Aastiparulu,V. Madhusudan Rao,Kongara Jaggaiah,Drama,,1966
422,Adugu Jaadalu,Tapi Chanakya,N. T. Rama Rao,,,1966
423,Aggi Barata,B. Vittalacharya,N. T. Rama Rao,,,1966
424,Bhakta Potana,Gutha Ramineedu,,,,1966
425,Bhimanjaneya Yuddham,,,,,1966
426,Chilaka Gorinka,Kotayya Pratyagatma,S. V. Ranga Rao,Drama,,1966
427,Dr. Anand,V. Madhusudan Rao,N. T. Rama Rao,,,1966
428,Hantakulostunnaru Jagratha,S. D. Lal,Ramakrishna,Drama,,1966
429,Kanne Manasulu,Adurthi Subba Rao,Krishna,Drama,,1966
430,Leta Manasulu,Krishnan Panju,Haranth,Drama,,1966
431,Loguttu Perumallukeruka,K. S. R. Doss,Shobhan Babu,,,1966
432,Manase Mandiram,C. V. Sridhar,Akkineni Nageswara Rao,Drama,,1966
433,Mangalasutram,A. K. Velaa,N. T. Rama Rao,,,1966
434,Monagallaku Monagadu,"S. D. Lal",S. V. Ranga Rao,"Action, thriller",,1966
435,Navaratri,Tatineni Rama Rao,Akkineni Nageswara Rao,Drama,,1966
436,Palnati Yuddham,Gutha Ramineedu,N. T. Rama Rao,Drama,,1966
437,Paramanandayya Sishyula Katha,Chittajallu Pullayya,N. T. Rama Rao,Drama,,1966
438,Pidugu Ramudu,B. Vittalacharya,N. T. Rama Rao,,,1966
439,Potti Pleader,K. Hemambharadhara Rao,B. Padmanabham,,,1966
440,Rangula Ratnam,B. N. Reddi,Chandra Mohan,Drama,,1966
441,Sangeeta Lakshmi,Giduturyi Suryam,N. T. Rama Rao,,,1966
442,Shakuntala,Kamalakara Kameshwara Rao,N. T. Rama Rao,,,1966
443,Sri Krishna Pandaveeyam,N. T. Rama Rao,N. T. Rama Rao,,,1966
444,Shrimati,Vijayareddy,Kanta Rao,,,1966
445,Sri Krishna Tulabharam,Kamalakara Kameswara Rao,N. T. Rama Rao,,,1966
446,Srikakula Andhra Maha Vishnu Katha,A. K. Sekhar,N. T. Rama Rao,,,1966
447,Aada Paduchu,K. Hemambharadhara Rao,Shobhan Babu,Drama,,1967
448,Ave Kallu,A. C. Trilogchander,Krishna,,,1967
449,Bhakta Prahlada,Chitrapu Narayana Rao,Rojaramani,Musical,,1967
450,Bhama Vijayam,Chittajallu Pullayya,N. T. Rama Rao,,,1967
451,Bhuvana Sundari Katha,Chittajallu Pullayya,N. T. Rama Rao,,,1967
452,Chadarangam,S. V. Ranga Rao,Haranath (actor),Drama,,1967
453,Chikkadu Dorakadu,B. Vittalacharya,"N. T. Rama Rao, Krishna Kumari",Folklore,,1967
454,Dwapayana Kaivalyam,Ramanna M. L.,,,,1967
455,Devuni Gelichina Manavudu,Hunsur Krishnamurthy,T. L. Kantha Rao,Drama,,1967
456,Gruhalakshmi,Bhanumathi,A. Nageswara Rao,,,1967
457,Gudachari 116,M. Mallikharjuna Rao,Krishna,Action,,1967
458,Iddaru Monagallu,B. Vittalacharya,T. L. Kantha Rao,,,1967
459,Kambojaraju Katha,Kamalakara Kameshwara Rao,Shobhan Babu,Vanisree,,1967
460,Kanchu Kota,C. S. Rao,N. T. Rama Rao,Drama,,1967
461,Konte Pilla,T. R. Ramanna,,,,1967
462,Maa Vadina,Kotayya Pratyagatma,T. L. Kantha Rao,Drama,,1967
463,Nindu Manasulu,S. D. Lal,NTR,,,1967
464,Nirdoshi,NTR,,,,1967
465,Pedda Akkayya,B. A. Subba Rao,Gummadi,Drama,,1967
466,Poola Rangadu,Adurthi Subba Rao,Akkineni Nageswara Rao,Drama,,1967
467,Prana Mithrulu,P. Pullaiah,A. Nageswara Rao,Drama,,1967
468,Private Master,K. Vishwanath,Ram Mohan,Musical,,1967
469,Punyavathi,Dada Mirasi,Padma Shri,Family Drama,,1967
470,Rahasyam,Vedantam Raghavaiah,Akkineni Nageswara Rao,Drama,,1967
471,Sakshi,Bapu,Ghattamaneni Krishna,Drama,,1967
472,Sati Sumathi,Vedantam Raghavaiah,Kanta Rao,Drama,,1967
473,Sri Krishnavataram,Kamalakara Kameshwara Rao,N. T. Rama Rao,,,1967
474,Sri Sri Sri Maryada Ramanna,K. Hemambharadhara Rao,B. Padmanabham,,,1967
475,Stree Janma,K. S. Prakash Rao,N. T. Rama Rao,Drama,,1967
476,Sudigundalu,Adurthi Subba Rao,Akkineni Nageswara Rao,Drama,,1967
477,Ummadi Kutumbam,D. Yoganand,N. T. Rama Rao,Drama,,1967
478,Vasantha Sena,B. S. Ranga,"A. Nageswara Rao, Anjali Devi, Padmini",,,1967
479,Veera Pooja,A. V. Seshagiri Rao,T. L. Kantha Rao,,,1967
480,Aggi Meeda Guggilam,G. Viswanatham,Tadepalli Lakshmi Kanta Rao,Folklore,,1968
481,Amayakudu,A.Narayanamurthy,Krishna,Drama,,1968
482,Attagaru Kotha Kodalu,Sanjeevi,Krishna,Family drama,,1968
483,Baghdad Gaja Donga,Dasari Yoganand,Padma Shri,,,1968
484,Bandhavyalu,S. V. Ranga Rao,S. V. Ranga Rao,,,1968
485,Bandipotu Dongalu,Kovelamudi Surya Prakash Rao,Akkineni Nageswara Rao,Drama,,1968
486,Bangaru Gaajulu,C. S. Rao,Akkineni Nageswara Rao,Family drama,,1968
487,Bangaru Pichika,Bapu,Chandra Mohan,,,1968
488,Bangaru Sankellu,Gutha Ramineedu,Haranath,Drama,,1968
489,Bhagya Chakramu,Kadri Venkata Reddy,N. T. Rama Rao,Folklore,,1968
490,Bhale Master,S. D. Lal,N. T. Rama Rao,Drama,,1968
491,Bhale Monagadu,B. Vittalacharya,Tadepalli Lakshmi Kanta Rao,Folklore,,1968
492,Bharya,Kovelamudi Surya Prakash Rao,Chittor V. Nagaiah,Drama,,1968
493,Brahmachari,Tatineni Rama Rao,Akkineni Nageswara Rao,Family drama,,1968
494,Chinnari Papalu,Savitri,Kongara Jaggaiah,,,1968
495,Circar Express,M. Krishnan,Krishna,Suspense,,1968
496,Devadichina Bharta,P. Padmaraju,Tadepalli Lakshmi Kanta Rao,Folklore,,1968
497,Devakanya,K. Hemambaradhara Rao,Tadepalli Lakshmi Kanta Rao,Folklore,,1968
498,Evaru Monagadu,R. Sundaram,Tadepalli Lakshmi Kanta Rao,Thriller,,1968
499,Govula Gopanna,C. S. Rao,Akkineni Nageswara Rao,Drama,,1968
500,Kalisochina Adrushtam,Kasinadhuni Viswanath,N. T. Rama Rao,Drama,,1968
501,Kumkuma Barani,Vedantam Raghavaiah,Tadepalli Lakshmi Kanta Rao,Drama,,1968
502,Lakshmi Nivasam,,,,,1968
503,Manasamsaram,C. S. Rao,Sobhan Babu,Folklore,,1968
504,Manchi Kutumbam,V. Madhusudhan Rao,Akkineni Nageswara Rao,Family drama,,1968
505,Nadamanthrapu Siri,Tatineni Rama Rao,Haranath,,,1968
506,Neerkimi Neervedhaptha Charithra,Narayana Rao,Gummadi,,,1968
507,Nene Monaganni,S. D. Lal,N. T. Rama Rao,Crime Story,,1968
508,Nenante Nene,V. Ramachandra Rao,Krishna,Thriller,,1968
509,Niluvu Dopidi,C. S. Rao,N. T. Rama Rao,Drama,,1968
510,Nindu Samsaram,C. S. Rao,N. T. Rama Rao,Family drama,,1968
511,Ninne Pelladata,B. V. Srinivas,N. T. Rama Rao,Comedy,,1968
512,Paala Manasulu,S. S. R. Sarma,Haranath,,,1968
513,Panthaalu Pattimpulu,K. B. Tilak,Sobhan Babu,,,1968
514,Papa Kosam,G. V. R. Seshagiri Rao,Baby Rani,,,1968
515,Pedaraasi Peddamma Katha,Giduthoori Suryam,Tadepalli Lakshmi Kanta Rao,Folklore,,1968
516,Pelliroju,Manapuram Apparao,Haranath,,,1968
517,Raja Yogam,Subbarama Das,Tadepalli Lakshmi Kanta Rao,Folklore,,1968
518,Ramu,A. C. Trilokchander,N. T. Rama Rao,Drama,,1968
519,Rana Bheri,Giduthoori Suryam,Tadepalli Lakshmi Kanta Rao,Folklore,,1968
520,Sati Arundhati,K. V. Nandan Rao,Tadepalli Lakshmi Kanta Rao,,,1968
521,Sudigundaalu,Adurthi Subbarao,Akkineni Nageswara Rao,,,1968
522,Sukha Dukhalu,I. N. Murthy,Jayalalithaa,Drama,,1968
523,Thalli Prema,Srikanth,N. T. Rama Rao,,,1968
524,Tikka Sankaraiah,Dasari Yoganand,N. T. Rama Rao,Comedy,,1968
525,Uma Chandi Gowri Shankarula Katha,Kadri Venkata Reddy,N. T. Rama Rao,,,1968
526,Undamma Bottu Pedata,Kasinadhuni Viswanath,Krishna,,,1968
527,Veeranjaneya,Kamalakara Kameswara Rao,Kanta Rao,,,1968
528,Aadarsa Kutumbam,Kotayya Pratyagatma,Akkineni Nageswara Rao,,,1969
529,Aatmiyulu,V. Madhusudan Rao,Akkineni Nageshwara Rao,Drama,,1969
530,Adrushtavanthulu,V. Madhusudhan Rao,"ANR, Jayalalithaa",,,1969
531,Aggi Pidugu,B. Vittalacharya,N. T. Rama Rao,,,1969
532,Aggi Veerudu,,,,,1969
533,Ardharathiri,P. Sambasiva Rao,Kongara Jaggayya,Drama,,1969
534,Bandhipotu Bhimanna,M. Mallikharjuna Rao,Anjali Devi,,,1969
535,Bangaru Panjaram,B. N. Reddy,Shobhan Babu,Drama,,1969
536,Bhale Mastaru,S. D. Lal,Anjali Devi,,,1969
537,Bhale Rangadu,Tatineni Rama Rao,Akkineni Nageswara Rao,,,1969
538,Bhale Thammudu,B. A. Subba Rao,N. T. Rama Rao,,,1969
539,Buddhimantudu,Bapu,Akkineni Nageswara Rao,,,1969
540,Ekaveera,C. S. Rao,N. T. Rama Rao,,,1969
541,Gandaragandudu,K. S. R. Doss,,,,1969
542,Gandikota Rahasyam,N. T. Rama Rao,,,,1969
543,Gopaludu Bhoopaludu,G. Vishwanathan,Jayalalithaa,,,1969
544,Kadaladu Vadaladu,B. Vittalacharya,N. T. Rama Rao,,,1969
545,Kathanayakudu,K. Hemambaradhara Rao,N. T. Rama Rao,,,1969
546,Mamaku Tagga Kodalu,C. S. Rao,,,,1969
547,Manchi Mithrulu,Tatineni Rama Rao,Shobhan Babu,,,1969
548,Manishichina Maguva,A. Bhim Singh,Savitri,,,1969
549,Manushulu Marali,V. Madhusudan Rao,Shoban Babu,,,1969
550,Mathru Devata,Savitri,N. T. Rama Rao,,,1969
551,Mooga Nomu,D. Yoganand,A. Nageswara Rao,Drama,,1969
552,Natakala Rayudu,K. Sanjeevi,Kaikala Satyanarayana,,,1969
553,Nindu Hrudayalu,K. Vishwanath,N. T. Rama Rao,Drama,,1969
554,Poovanam,Shyam Benegal,,,,1969
555,Raja Simha,K. Sbharamadas,Vanisree,Action,,1969
556,Sabash Satyam,G. Viswanatham,Krishna,,,1969
557,Saptaswaralu,Vedantam Raghavaiah,Kanta Rao,Drama,,1969
558,Sattekalapu Satteya,K. Balachander,Chalam,,,1969
559,Shri Rama Katha,B. Padmanabham,Anjali Devi,,,1969
560,Sipayi Chinnayya,G. V. R. Seshagiri Rao,Akkineni Nageswara Rao,,,1969
561,Takkaridonga Chakkanichukka,K. S. R. Doss,Krishna,,,1969
562,Ukkupidugu,K. S. R. Doss,,,,1969
563,Varakatnam,NTR,"NTR, ",,,1969
564,Vichitra Kutumbam,K. S. Prakash Rao,N. T. Rama Rao,,,1969
565,Akhandudu,V. Ramachandra Rao,Krishna,,,1970
566,Akka Chellelu,A. Sanjeevi,Akkineni Nageshwara Rao,,,1970
567,Ali Baba 40 Dongalu,B. Vittalacharya,NTR,,,1970
568,Amma Kosam,B V Prasad,Krishnam Raju,,,1970
569,Balaraju Katha,Bapu,Master Prabhakar,,,1970
570,Chitti Chellelu,M. Krishnan Nair,NTR,,,1970
571,Desamante Manushuloyi,C. S. Rao,Sobhan Babu,,,1970
572,Dharma Daata,Sanjeevi,Akkineni Nageshwara Rao,,,1970
573,Drohi,Kovelamudi Bapayya,Kongara Jaggaiah,,,1970
574,Jai Jawan,D. Yoganand,Akkineni Nageshwara Rao,,,1970
575,Kathanayika Molla,Basavaraju Venkata Padmanabha Rao,Vanisree,,,1970
576,Kodalu Diddina Kapuram,D. Yoganand,NTR,,,1970
577,Lakshmi Kataksham,B. Vittalacharya,NTR,,,1970
578,Maa Manchi Akkayya,,K. R. Vijaya,,,1970
579,Maa Nanna Nirdhoshi,K. V. Nandana Rao,Krishna,,,1970
580,Malli Pelli,C. S. Rao,Krishna,,,1970
581,Marina Manishi,C. S. Rao,NTR,,,1970
582,Maro Prapancham,Adhuruthi Subbarao,Akkineni Nageshwara Rao,,,1970
583,Mayani Mamata,Kamalakara Kameshwara Rao,NTR,,,1970
584,Merupu Veerudu,B. Harinarayana,Kanta Rao,,,1970
585,Oke Kutumbham,A. Bhimsingh,NTR,,,1970
586,Pelli Koothuru,V. Ramachandra Rao,Krishnam Raju,,,1970
587,Pelli Sambandham,K. Varaprasad Rao,Krishna Ghattamaneni,,,1970
588,Pettandarulu,C. S. Rao,NTR,,,1970
589,Sambarala Rambabu,Sheshagiri Rao,Chalam,,,1970
590,Thaali Bottu,T. Madhusudhan Rao,Krishna Ghattamaneni,,,1970
591,Thalla? Pellama?,NTR,NTR,,,1970
592,Vidhi Vilasam,Tapi Chanakya,Krishna,,,1970
593,Vijayam Manade,B. Vittalacharya,NTR,,,1970
594,Adrusta Jathakudu,K. Hemambaradhara Rao,N. T. Rama Rao,,,1971
595,Amaayakuraalu,V. Madhusudhana Rao,"ANR, Kanchana",,,1971
596,Anuradha,,,,,1971
597,Bangaru Kutumbam,,,,,1971
598,Bangaru Talli,,"Tapi Chamukya, Jamuna",,,1971
599,Bhagyavantudu,,,,,1971
600,Bhale Papa,K. S. Prakasa Rao,,,,1971
601,Bomma Borusa,K. Balachander,"Chalam, S Varalaxmi",Remake,,1971
602,Chelleli Kapuram,K. Vishwanath,"Shobhan, Vanisri",,,1971
603,Chinnanati Snehitulu,K. Vishwanath,NTR,,,1971
604,Dasara Bullodu,,ANR,,,1971
605,Iddaru Ammayilu,S. R. Puttanna Kanagal,ANR,,,1971
606,Jeevitha Chakram,C. S. Rao,"NTR, Vanisri",Music,,1971
607,Kalyana Mandapam,V. Madhusudan Rao,Shobhan Babu,,,1971
608,Manasu Mangalyam,K. Pratyagatma,ANR,,,1971
609,Mattilo Manikyam,,Chalam Jamuna Bhanumathi,,,1971
610,Mosagallaku Mosagadu,K. S. R. Das,"Krishna, Vijayanirmala Nagabhushanam",Cowboy,,1971
611,Naa Thammudu ,,Shobhan Vanisri,,,1971
612,Nenu Manishine ,,,,,1971
613,Nindu Dampathulu,K. Viswanath,NTR,,,1971
614,Pagabattina Paduchu,,Sharada,,,1971
615,Pavitra Bandham,V. Madhusudhan Rao,ANR,Social,,1971
616,Pavitra Hrudayalu,A. C. Tirulokchandar,NTR,,,1971
617,Pethamdaarlu ,,NTR,,,1971
618,Prema Nagar,K. S. Prakasa Rao,"ANR, Vanisri",,,1971
619,Raitu Bidda,B. A. Subba Rao,NTR,,,1971
620,Raitu Kutumbam ,,ANR,,,1971
621,Rajakota Rahasyam,B. Vittalacharya,NTR,Folklore,,1971
622,Ramalayam,K. Babu Rao,Kongara Jaggaiah,,,1971
623,Rangeli Raja,,"ANR, ",,,1971
624,Sampoorna Ramayanam,,Bapu,Mythology,,1971
625,Sati Ansuya ,,Jamuna,Mythology,,1971
626,Sri Krishna Satya,,NTR Jamuna,Mythology,,1971
627,Sri Krishna Vijayamu,,NTR,Mythology,,1971
628,Srimanthudu,,ANR,,,1971
629,Sisindri Chittibabu,,,,,1971
630,Suputhrudu,Tatineni Rama Rao,"ANR, ",Musical,,1971
631,Tahsildar Gari Ammayi,,Shobhan Jamuna,,,1971
632,Varalakshmi Vratam,B. Vittalacharya,Kanta Rao,,,1971
633,Vichithra Kutumbam,,NTR Savitri Shobhan Krishna,"""Aadave jalkammulaadave.."" song",,1971
634,Vikramarka Vijayam,,,,,1971
635,Akka Thamudu,Krishnan-Raju,Jayalalithaa,,,1972
636,Antha Mana Manchike,Bhanumathi Ramakrishna,"Bhanumathi, Krishna, Nagabhushanam",,,1972
637,Badi Panthulu,P. Chandrasekhara Reddy,N. T. Rama Rao,Social,,1972
638,Bala Bharatam,Kamalakara Kameshwara Rao,Baby Sridevi,,,1972
639,Bala Mitrula Katha,,,,,1972
640,Bandipotu,,,Folklore,,1972
641,Beedala Patlu,B. Vittalacharya,ANR,,,1972
642,Bhale Mosagadu,,Krishna,Action,,1972
643,Bharya Biddalu,T. Ramarao,"ANR, Jayalalitha Krishnakumari Sridevi",Music,,1972
644,Datta Putrudu,T. Lenin Babu,ANR,,,1972
645,Guduputani,P. Lakshmi Deepak,Krishna,,,1972
646,Hantakulu Devantakulu,,Krishna,Action,,1972
647,Illu Illalu,,"Krishna, Vanisri",Social,,1972
648,Inspector Bharya,,"Krishna, Chandrakala",,,1972
649,Kalam Marindi,K. Viswanath,Gummadi Venkateswara Rao,,,1972
650,Koduku Kodalu,P. Pullaiah,ANR,,,1972
651,Kula Gowravam,Peketi Sivaram,NTR,,,1972
652,Manavudu Danavudu,P. Chandrasekhara Reddy,"Shobhan Babu, Sharada",,,1972
653,Manchi Rojulu Vachchaayi,V. Madhusudan Rao,ANR,Social Message,,1972
654,Mathru Murthy?,,,,,1972
655,Md Bin Tuglak,,"Nagabhushanam, S. P. Balasubrahmanyam",Political Satire,,1972
656,Neeti-Nijayiti,Singeetam Srinivasa Rao,Krishnam Raju,,,1972
657,Pandanti Kapuram,Lakshmi Deepak,,,,1972
658,Papam Pasivadu,V. Ramachandra Rao,,,,1972
659,Raitu Kutumbam,Tatineni Rama Rao,ANR,Rural background,,1972
660,Raj Mahal,,"Krishna, Kishnamraju",Action,,1972
661,Sabhash Baby?,,,,,1972
662,Sabhash Vadina,,,,,1972
663,Sri Krishnanjaneya Yuddham,C. S. Rao,NTR,,,1972
664,Vichitra Bandham,Adurthi Subba Rao,ANR,,,1972
665,Vinta Dampatulu,K. Hemabandhara Rao,Nagabhushanam,Social,,1972
666,Vooriki Vupakari,,"Chalam, Kannada Aarathi",,,1972
667,Abhimanavantulu,,Krishnam Raju,,,1973
668,Andala Ramudu,Bapu,ANR,,,1973
669,Bangaru Babu,V. B. Rajendra Prasad,ANR,,,1973
670,Bhakta Tukaram,V. Madhusudhan Rao,ANR,,,1973
671,Dabbuki Lokam Dasoham,D. Yoganand,NTR,,,1973
672,Desoddharakulu,C. S. Rao,NTR,,,1973
673,Devudu Chesina Manushulu,V. Ramachandra Rao,NTR,,,1973
674,Dhanama? Daivama?,C. S. Rao,NTR,,,1973
675,Doctor Babu,,Sobhan Babu,"Romance, Drama",,1973
676,Errakota Veerudu,Pardhasaradhi,"N. T. Rama Rao, B. Saroja Devi, Savitri, Rajanala",Fantasy,,1973
677,Gandhi Puttina Desam,,Krishnam Raju,Social Message,,1973
678,Ganga Manga,V. Rama Chandra Rao,Vanisri,Remake,,1973
679,Geeta,,,,,1973
680,Geetaanjali,,,,,1973
681,Inti Dongalu,,Krishnam Raju,,,1973
682,Jeevana Tarangalu,,Vanisri,,,1973
683,Kanna Koduku,V. Madhusudhan Rao,ANR,Drama,,1973
684,Lokam Marali,K. Balachander,Jaishankar,"",,1973
685,Mamatha,P. Chandra Sekhar Reddy,Jamuna,,,1973
686,Manchi Vallaki Manchivadu,K. S. R. Das,Krishna,,,1973
